# name,r,g,b,h,s,v,H,L,S
darkblue,0,0,139,170,255,139,170,69,255
mediumblue,0,0,205,170,255,205,170,102,255
blue,0,0,255,170,255,255,170,127,255
lavender,230,230,250,170,20,250,170,240,170
ghostwhite,248,248,255,170,7,255,170,251,255
darkslateblue,72,61,139,175,143,139,175,100,99
slateblue,106,90,205,175,143,205,175,147,136
mediumslateblue,123,104,238,176,143,238,176,171,203
mediumpurple,147,112,219,183,124,219,183,165,152
rebeccapurple,102,51,153,191,170,153,191,102,127
blueviolet,138,43,226,192,206,226,192,134,193
indigo,75,0,130,194,255,130,194,65,255
darkorchid,153,50,204,198,192,204,198,127,154
darkviolet,148,0,211,199,255,211,199,105,255
mediumorchid,186,85,211,204,152,211,204,147,150
purple,128,0,128,212,255,128,212,64,255
darkmagenta,139,0,139,212,255,139,212,69,255
fuchsia,255,0,255,212,255,255,212,127,255
magenta,255,0,255,212,255,255,212,127,255
violet,238,130,238,212,115,238,212,184,193
plum,221,160,221,212,70,221,212,190,120
thistle,216,191,216,212,29,216,212,203,61
orchid,218,112,214,214,123,218,214,164,150
mediumvioletred,199,21,133,228,228,199,228,110,206
deeppink,255,20,147,232,235,255,232,137,255
hotpink,255,105,180,233,150,255,233,179,255
lavenderblush,255,240,245,240,15,255,240,247,255
palevioletred,219,112,147,241,124,219,241,165,152
crimson,220,20,60,246,231,220,246,120,212
pink,255,192,203,247,63,255,247,223,255
lightpink,255,182,193,248,73,255,248,218,255
